transaction_id,date,customer_id,product_name,category,quantity,unit_price,total_amount,customer_segment,store_location
TXN001,2024-01-15,CUST001,Organic Coffee Beans,Food & Beverage,2,15.99,31.98,Coffee Lovers,Store A
TXN001,2024-01-15,CUST001,French Press,Kitchen,1,45.99,45.99,Coffee Lovers,Store A
TXN001,2024-01-15,CUST001,Coffee Grinder,Kitchen,1,89.99,89.99,Coffee Lovers,Store A
TXN002,2024-01-16,CUST002,Espresso Machine,Kitchen,1,299.99,299.99,Coffee Enthusiasts,Store B
TXN002,2024-01-16,CUST002,Milk Frother,Kitchen,1,39.99,39.99,Coffee Enthusiasts,Store B
TXN002,2024-01-16,CUST002,Coffee Cups Set,Kitchen,1,29.99,29.99,Coffee Enthusiasts,Store B
TXN003,2024-01-17,CUST003,Green Tea,Food & Beverage,3,8.99,26.97,Tea Lovers,Store A
TXN003,2024-01-17,CUST003,Tea Infuser,Kitchen,1,19.99,19.99,Tea Lovers,Store A
TXN003,2024-01-17,CUST003,Honey,Food & Beverage,1,12.99,12.99,Tea Lovers,Store A
TXN004,2024-01-18,CUST004,Organic Pasta,Food & Beverage,2,4.99,9.98,Health Conscious,Store B
TXN004,2024-01-18,CUST004,Tomato Sauce,Food & Beverage,1,3.99,3.99,Health Conscious,Store B
TXN004,2024-01-18,CUST004,Olive Oil,Food & Beverage,1,14.99,14.99,Health Conscious,Store B
TXN004,2024-01-18,CUST004,Parmesan Cheese,Food & Beverage,1,8.99,8.99,Health Conscious,Store B
TXN005,2024-01-19,CUST005,Protein Bars,Health,6,2.99,17.94,Fitness Focused,Store A
TXN005,2024-01-19,CUST005,Protein Powder,Health,1,49.99,49.99,Fitness Focused,Store A
TXN005,2024-01-19,CUST005,Shaker Bottle,Kitchen,1,15.99,15.99,Fitness Focused,Store A
TXN006,2024-01-20,CUST006,Avocados,Food & Beverage,4,1.99,7.96,Health Conscious,Store B
TXN006,2024-01-20,CUST006,Quinoa,Food & Beverage,1,6.99,6.99,Health Conscious,Store B
TXN006,2024-01-20,CUST006,Almond Milk,Food & Beverage,1,4.99,4.99,Health Conscious,Store B
TXN007,2024-01-21,CUST007,Dark Chocolate,Food & Beverage,2,8.99,17.98,Chocolate Lovers,Store A
TXN007,2024-01-21,CUST007,Nuts Mix,Food & Beverage,1,12.99,12.99,Chocolate Lovers,Store A
TXN008,2024-01-22,CUST008,Bread,Food & Beverage,2,3.99,7.98,Family Shoppers,Store B
TXN008,2024-01-22,CUST008,Butter,Food & Beverage,1,5.99,5.99,Family Shoppers,Store B
TXN008,2024-01-22,CUST008,Milk,Food & Beverage,1,4.99,4.99,Family Shoppers,Store B
TXN008,2024-01-22,CUST008,Eggs,Food & Beverage,1,6.99,6.99,Family Shoppers,Store B
TXN009,2024-01-23,CUST009,Yogurt,Food & Beverage,3,1.99,5.97,Health Conscious,Store A
TXN009,2024-01-23,CUST009,Granola,Food & Beverage,1,7.99,7.99,Health Conscious,Store A
TXN009,2024-01-23,CUST009,Berries,Food & Beverage,2,4.99,9.98,Health Conscious,Store A
TXN010,2024-01-24,CUST010,Cereal,Food & Beverage,2,5.99,11.98,Family Shoppers,Store B
TXN010,2024-01-24,CUST010,Orange Juice,Food & Beverage,1,6.99,6.99,Family Shoppers,Store B
TXN011,2024-01-25,CUST011,Wine,Food & Beverage,1,24.99,24.99,Wine Enthusiasts,Store A
TXN011,2024-01-25,CUST011,Cheese Platter,Food & Beverage,1,18.99,18.99,Wine Enthusiasts,Store A
TXN011,2024-01-25,CUST011,Crackers,Food & Beverage,1,6.99,6.99,Wine Enthusiasts,Store A
TXN012,2024-01-26,CUST012,Energy Drinks,Food & Beverage,4,3.99,15.96,Students,Store B
TXN012,2024-01-26,CUST012,Instant Noodles,Food & Beverage,6,1.99,11.94,Students,Store B
TXN013,2024-01-27,CUST013,Smoothie Mix,Food & Beverage,2,9.99,19.98,Health Conscious,Store A
TXN013,2024-01-27,CUST013,Coconut Water,Food & Beverage,3,3.99,11.97,Health Conscious,Store A
TXN014,2024-01-28,CUST014,Ice Cream,Food & Beverage,2,6.99,13.98,Dessert Lovers,Store B
TXN014,2024-01-28,CUST014,Cookies,Food & Beverage,1,4.99,4.99,Dessert Lovers,Store B
TXN015,2024-01-29,CUST015,Spices Set,Food & Beverage,1,19.99,19.99,Cooking Enthusiasts,Store A
TXN015,2024-01-29,CUST015,Cooking Oil,Food & Beverage,1,8.99,8.99,Cooking Enthusiasts,Store A
TXN015,2024-01-29,CUST015,Rice,Food & Beverage,1,12.99,12.99,Cooking Enthusiasts,Store A
