transaction_id,customer_id,items,date,time,persona,customer_loyalty,store_location,payment_method
TXN_000001,CUST_0008,Salmon;Twilight;Organic Coffee;Cookbook;Cereal,2025-02-22,18:48,Book Lover,regular,Online,Credit Card
TXN_000002,CUST_0110,Sony WH-1000XM5;4K Monitor;Gaming Keyboard;iPad Mini,2025-04-08,14:54,Tech Enthusiast,new,Store C,Cash
TXN_000003,CUST_0128,Magazine;Milk;Organic Coffee;Cookbook;Honey,2025-06-02,11:59,Book Lover,regular,Store A,Mobile Payment
TXN_000004,CUST_0072,Garden Hose;Microwave;Solar Lights;Dark Chocolate;Coffee Maker;Vegetables;Orange Juice,2025-05-16,20:03,Home Cook,regular,Online,Debit Card
TXN_000005,CUST_0030,USB-C Cable;Graphics Card RTX 4070;Webcam,2025-04-09,17:44,Tech Enthusiast,vip,Store A,Credit Card
TXN_000006,CUST_0078,Gym Bag;Shampoo;Golf Clubs;Electric Toothbrush,2025-06-26,12:24,Fitness Enthusiast,regular,Store B,Debit Card
TXN_000007,CUST_0146,Golf Clubs;Face Cream,2025-04-18,18:08,Fitness Enthusiast,vip,Store A,Credit Card
TXN_000008,CUST_0133,Garden Hose;Instant Pot;Orange Juice;Bread;Outdoor Furniture,2025-05-14,08:43,Home Cook,regular,Store B,Cash
TXN_000009,CUST_0277,Vitamins,2025-05-04,14:42,Fitness Enthusiast,regular,Store C,Mobile Payment
TXN_000010,CUST_0230,AirPods Pro;PlayStation 5;Nintendo Switch,2025-02-27,17:24,General Shopper,new,Store A,Credit Card
TXN_000011,CUST_0192,Supplement Pills,2025-02-05,14:51,Fashion Conscious,vip,Store B,Cash
TXN_000012,CUST_0138,Basketball;Moisturizer;Electric Toothbrush,2025-03-18,05:59,Fitness Enthusiast,vip,Store A,Credit Card
TXN_000013,CUST_0238,Green Tea,2025-05-29,16:02,Home Cook,regular,Store B,Mobile Payment
TXN_000014,CUST_0004,Microsoft Surface;Nintendo Switch;Sony WH-1000XM5;Bluetooth Speaker,2025-05-22,15:10,Tech Enthusiast,regular,Store C,Credit Card
TXN_000015,CUST_0206,Fitness Tracker;Running Shoes;Golf Balls,2025-03-01,16:27,Fitness Enthusiast,vip,Store B,Credit Card
TXN_000016,CUST_0008,Game of Thrones;Rice;Protein Bars,2025-03-13,17:59,Book Lover,regular,Store A,Cash
TXN_000017,CUST_0115,Shampoo,2025-02-16,06:11,Fashion Conscious,vip,Store B,Cash
TXN_000018,CUST_0007,Vegetables;Tomato Sauce;Quinoa;Rice Cooker;Protein Bars;Peanut Butter;Eggs;Flower Pots;Coffee Maker;Air Fryer;Orange Juice;Vacuum Cleaner,2025-03-06,13:19,Home Cook,vip,Store C,Debit Card
TXN_000019,CUST_0178,Soccer Ball;Sunscreen;Moisturizer,2025-06-10,09:32,Fitness Enthusiast,vip,Store A,Debit Card
TXN_000020,CUST_0103,Polo Ralph Lauren Shirt;Hair Dryer;Gap Jeans;Under Armour T-Shirt;Moisturizer,2025-04-03,15:45,Fashion Conscious,regular,Store C,Cash
TXN_000021,CUST_0000,Salmon;Art Book,2025-02-22,11:26,Book Lover,regular,Store A,Debit Card
TXN_000022,CUST_0144,History Book,2025-02-04,15:13,Book Lover,regular,Store A,Mobile Payment
TXN_000023,CUST_0106,Toothpaste;Face Cream;Protein Powder,2025-01-29,16:16,Fitness Enthusiast,new,Store C,Credit Card
TXN_000024,CUST_0023,Chicken Breast,2025-02-17,21:10,Book Lover,regular,Store C,Credit Card
TXN_000025,CUST_0111,Deodorant;Supplement Pills;Electric Toothbrush;Fitness Tracker;Nike Socks;Converse All Stars,2025-06-10,11:19,Fashion Conscious,new,Store C,Debit Card
TXN_000026,CUST_0283,Tommy Hilfiger Jacket;Nike Hoodie;Levi's Jeans;Under Armour T-Shirt;Gap Jeans;Supplement Pills;Nike Socks;Nike Air Max;Zara Dress;Calvin Klein Underwear;Vitamins;Champion Hoodie,2025-02-12,12:15,Fashion Conscious,regular,Store C,Debit Card
TXN_000027,CUST_0022,Yoga Mat;Conditioner,2025-06-19,23:21,Fitness Enthusiast,vip,Store B,Debit Card
TXN_000028,CUST_0027,Yogurt;Butter;Instant Pot;Rice Cooker;Tomato Sauce;Olive Oil;Lawn Mower,2025-05-13,15:17,Home Cook,new,Store C,Debit Card
TXN_000029,CUST_0145,Sleeping Bag;Moisturizer;Ski Equipment;Yoga Mat,2025-04-02,14:21,Fitness Enthusiast,vip,Store C,Credit Card
TXN_000030,CUST_0130,Golf Clubs;Fitness Tracker;Toothpaste;Dumbbells,2025-02-14,14:14,Fitness Enthusiast,vip,Store B,Credit Card
TXN_000031,CUST_0071,Golf Clubs;Camping Tent;Hiking Boots;Running Shoes;Golf Balls;Water Bottle;Tennis Racket,2025-04-11,13:53,General Shopper,regular,Store B,Mobile Payment
TXN_000032,CUST_0050,Rice Cooker;Toaster;Solar Lights;Honey;Garden Tools Set;Food Processor;Lawn Mower;Coffee Maker;Butter;Plant Fertilizer;Electric Kettle;Green Tea,2025-07-14,19:32,Home Cook,regular,Store C,Debit Card
TXN_000033,CUST_0086,Toothpaste;Makeup Kit,2025-03-15,09:17,Fashion Conscious,regular,Store C,Mobile Payment
TXN_000034,CUST_0076,Flower Pots;Protein Bars;Coffee Maker;Butter;Honey;Organic Coffee;Bread;Plant Fertilizer;Electric Kettle;Fruits;Garden Hose;Outdoor Furniture;Milk,2025-02-21,16:53,Home Cook,regular,Store B,Debit Card
TXN_000035,CUST_0137,Graphics Card RTX 4070;Power Bank;Sony WH-1000XM5,2025-01-26,09:09,Tech Enthusiast,regular,Store B,Credit Card
TXN_000036,CUST_0036,Vitamins;Adidas Track Pants;Body Wash;Nike Air Max;Gap Jeans;Calvin Klein Underwear,2025-05-03,09:58,Fashion Conscious,new,Store C,Mobile Payment
TXN_000037,CUST_0131,Snowboard;Fishing Rod;Makeup Kit;Deodorant,2025-04-03,12:06,Fitness Enthusiast,vip,Store A,Credit Card
TXN_000038,CUST_0087,Power Bank;Webcam;Graphics Card RTX 4070;4K Monitor;Nintendo Switch,2025-04-01,14:52,Tech Enthusiast,regular,Store C,Credit Card
TXN_000039,CUST_0111,Uniqlo Sweater;Tommy Hilfiger Jacket;Ray-Ban Sunglasses;Levi's Jeans,2025-06-26,13:27,Fashion Conscious,new,Store A,Debit Card
TXN_000040,CUST_0143,Food Processor,2025-02-18,15:39,Home Cook,regular,Store B,Debit Card
TXN_000041,CUST_0074,Calvin Klein Underwear;Electric Toothbrush;Gap Jeans;Champion Hoodie;Makeup Kit;Hair Dryer;Face Cream;H&M T-Shirt,2025-06-15,11:20,Fashion Conscious,new,Store A,Credit Card
TXN_000042,CUST_0156,Makeup Kit;Moisturizer,2025-05-22,03:47,Fashion Conscious,vip,Store C,Debit Card
TXN_000043,CUST_0143,Air Fryer;Rice Cooker;Salmon;Stand Mixer,2025-02-19,14:19,Home Cook,regular,Store C,Debit Card
TXN_000044,CUST_0127,Solar Lights;Electric Kettle;Coffee Maker;Cheese,2025-02-27,10:49,Home Cook,new,Online,Debit Card
TXN_000045,CUST_0128,Honey;Game of Thrones,2025-04-02,14:57,Book Lover,regular,Store C,Credit Card
TXN_000046,CUST_0279,Nuts Mix,2025-06-10,17:44,Book Lover,regular,Online,Credit Card
TXN_000047,CUST_0095,Rice;Garden Tools Set,2025-07-08,06:43,Home Cook,regular,Store C,Credit Card
TXN_000048,CUST_0142,Deodorant;Calvin Klein Underwear;Electric Toothbrush;Uniqlo Sweater,2025-03-06,10:53,Fashion Conscious,regular,Store C,Cash
TXN_000049,CUST_0221,Microsoft Surface;USB-C Cable;Gaming Mouse;Gaming Keyboard;Sony WH-1000XM5,2025-02-26,08:05,Tech Enthusiast,new,Store A,Mobile Payment
TXN_000050,CUST_0074,Nike Hoodie;Fitness Tracker;Vans Old Skool;Dumbbells;Tommy Hilfiger Jacket,2025-03-01,10:31,Fashion Conscious,new,Store B,Cash
TXN_000051,CUST_0063,Vacuum Cleaner;Eggs;Plant Fertilizer;Dark Chocolate;Organic Coffee;Fruits;Olive Oil;Milk;Stand Mixer;Air Fryer;Pasta;Outdoor Furniture;Electric Kettle,2025-05-21,10:51,Home Cook,regular,Store A,Credit Card
TXN_000052,CUST_0044,Toaster;Coffee Maker;Rice Cooker;Salmon;Vacuum Cleaner,2025-07-06,08:55,Home Cook,new,Store C,Debit Card
TXN_000053,CUST_0091,Supplement Pills;Protein Powder;Surfboard,2025-02-14,11:26,Fitness Enthusiast,regular,Store A,Credit Card
TXN_000054,CUST_0066,Toaster,2025-02-24,13:52,Home Cook,regular,Store A,Credit Card
TXN_000055,CUST_0115,Vans Old Skool;Ray-Ban Sunglasses;Vitamins;Calvin Klein Underwear,2025-03-26,15:55,Fashion Conscious,vip,Store B,Mobile Payment
TXN_000056,CUST_0159,Magazine;Game of Thrones;Bread;Electric Toothbrush,2025-05-07,20:25,Book Lover,new,Store A,Cash
TXN_000057,CUST_0188,Garden Hose;Microwave;Milk;Honey;Organic Coffee;Toaster;Dark Chocolate;Pasta,2025-04-23,12:32,Home Cook,regular,Store B,Credit Card
TXN_000058,CUST_0146,Running Shoes;Protein Powder;Bike Helmet,2025-06-17,16:41,Fitness Enthusiast,vip,Store B,Debit Card
TXN_000059,CUST_0241,Vans Old Skool;Vitamins;Resistance Bands;Adidas Track Pants;Adidas Ultraboost;Nike Air Max;Supplement Pills,2025-04-08,11:23,Fashion Conscious,new,Store C,Credit Card
TXN_000060,CUST_0058,Toothpaste;Sunscreen,2025-07-17,14:47,Fitness Enthusiast,new,Store A,Credit Card
TXN_000061,CUST_0065,Shampoo,2025-07-16,14:35,General Shopper,new,Online,Mobile Payment
TXN_000062,CUST_0218,Skincare Set,2025-05-17,10:07,Fitness Enthusiast,regular,Store B,Debit Card
TXN_000063,CUST_0252,Flower Pots;Toaster;Vegetables;Butter;Microwave;Coffee Maker;Eggs;Fruits;Garden Tools Set;Garden Hose;Olive Oil;Tomato Sauce;Bread;Green Tea,2025-02-11,15:07,Home Cook,regular,Store B,Debit Card
TXN_000064,CUST_0104,Protein Powder;Moisturizer;Deodorant;Supplement Pills;Pasta,2025-07-16,18:09,Fitness Enthusiast,regular,Store C,Credit Card
TXN_000065,CUST_0080,Fishing Rod;Running Shoes;Sunscreen;Supplement Pills;Moisturizer;Green Tea,2025-06-21,12:13,Fitness Enthusiast,vip,Online,Credit Card
TXN_000066,CUST_0063,Blender;Fruits;Vacuum Cleaner;Stand Mixer;Rice;Coffee Maker;Cereal;Garden Tools Set,2025-01-25,19:40,Home Cook,regular,Store A,Debit Card
TXN_000067,CUST_0213,Sunscreen,2025-06-23,14:17,Fashion Conscious,regular,Store C,Mobile Payment
TXN_000068,CUST_0065,Cookbook;Bread,2025-06-03,15:36,General Shopper,new,Online,Credit Card
TXN_000069,CUST_0179,Dark Chocolate;Tomato Sauce;Honey,2025-01-27,21:52,General Shopper,vip,Store C,Debit Card
TXN_000070,CUST_0192,Uniqlo Sweater;Ray-Ban Sunglasses;Yoga Mat;Dumbbells,2025-06-01,16:08,Fashion Conscious,vip,Online,Mobile Payment
TXN_000071,CUST_0218,Sleeping Bag;Backpack;Vitamins;Moisturizer,2025-05-21,13:00,Fitness Enthusiast,regular,Store C,Credit Card
TXN_000072,CUST_0176,Mystery Novel;Salmon;Cereal,2025-07-22,11:32,Book Lover,vip,Store A,Debit Card
TXN_000073,CUST_0083,Milk;Garden Tools Set;Lawn Mower;BBQ Grill;Blender;Instant Pot;Protein Bars;Electric Kettle;Fruits;Food Processor;Solar Lights,2025-03-13,16:05,Home Cook,vip,Store C,Cash
TXN_000074,CUST_0200,Biography;To Kill a Mockingbird,2025-04-30,18:32,Book Lover,regular,Store C,Cash
TXN_000075,CUST_0192,Moisturizer;Vitamins;Protein Powder;Uniqlo Sweater;Dumbbells;Ray-Ban Sunglasses;Resistance Bands;Toothpaste,2025-07-22,13:30,Fashion Conscious,vip,Store B,Credit Card
TXN_000076,CUST_0274,Nike Socks;Game of Thrones;Adidas Ultraboost,2025-03-20,16:15,General Shopper,regular,Store A,Credit Card
TXN_000077,CUST_0242,Resistance Bands;Hiking Boots,2025-03-21,14:37,Fitness Enthusiast,new,Store A,Cash
TXN_000078,CUST_0138,Moisturizer,2025-01-30,06:29,Fitness Enthusiast,vip,Store A,Debit Card
TXN_000079,CUST_0118,Under Armour T-Shirt;Levi's Jeans;Fitness Tracker;Perfume;Face Cream,2025-02-09,19:28,Fashion Conscious,regular,Store A,Debit Card
TXN_000080,CUST_0107,Hair Dryer;Vitamins,2025-07-10,19:53,Fitness Enthusiast,new,Store A,Debit Card
TXN_000081,CUST_0280,Bike Helmet,2025-03-05,11:11,Fitness Enthusiast,new,Store A,Credit Card
TXN_000082,CUST_0284,Face Cream;Zara Dress,2025-05-13,22:09,Fashion Conscious,regular,Store B,Cash
TXN_000083,CUST_0294,Running Shoes;Perfume;Swimming Goggles,2025-04-02,19:17,Fitness Enthusiast,new,Online,Credit Card
TXN_000084,CUST_0206,Tennis Balls;Gym Bag,2025-07-18,16:58,Fitness Enthusiast,vip,Store A,Debit Card
TXN_000085,CUST_0292,Stand Mixer;Salmon;Olive Oil;Cheese;Pasta;Butter;Organic Coffee,2025-03-13,19:24,Home Cook,new,Store B,Debit Card
TXN_000086,CUST_0097,Flower Pots;Tomato Sauce,2025-05-15,16:16,Home Cook,regular,Store A,Debit Card
TXN_000087,CUST_0090,Basketball;Body Wash;Moisturizer,2025-07-16,17:02,Fitness Enthusiast,regular,Store A,Debit Card
TXN_000088,CUST_0021,Supplement Pills;Makeup Kit;Dark Chocolate;Yoga Mat,2025-04-24,10:10,General Shopper,regular,Online,Debit Card
TXN_000089,CUST_0029,Power Bank,2025-02-06,14:58,Tech Enthusiast,regular,Online,Credit Card
TXN_000090,CUST_0116,Webcam,2025-03-05,15:57,Tech Enthusiast,regular,Store A,Credit Card
