transaction_id,date,customer_id,product_name,category,quantity,unit_price,total_amount,customer_segment,store_location
TXN001,2024-01-15,CUST001,Yoga Mat,Fitness,1,35.99,35.99,Fitness Enthusiasts,Store A
TXN001,2024-01-15,CUST001,Water Bottle,Fitness,1,19.99,19.99,Fitness Enthusiasts,Store A
TXN001,2024-01-15,CUST001,Resistance Bands,Fitness,1,25.99,25.99,Fitness Enthusiasts,Store A
TXN002,2024-01-16,CUST002,Running Shoes,Fitness,1,129.99,129.99,Runners,Store B
TXN002,2024-01-16,CUST002,Sports Watch,Electronics,1,299.99,299.99,Runners,Store B
TXN002,2024-01-16,CUST002,Athletic Socks,Clothing,3,9.99,29.97,Runners,Store B
TXN003,2024-01-17,CUST003,Dumbbells Set,Fitness,1,199.99,199.99,Weight Training,Store A
TXN003,2024-01-17,CUST003,Gym Bag,Fitness,1,49.99,49.99,Weight Training,Store A
TXN003,2024-01-17,CUST003,Protein Powder,Health,1,59.99,59.99,Weight Training,Store A
TXN004,2024-01-18,CUST004,Tennis Racket,Sports,1,149.99,149.99,Tennis Players,Store B
TXN004,2024-01-18,CUST004,Tennis Balls,Sports,3,8.99,26.97,Tennis Players,Store B
TXN004,2024-01-18,CUST004,Tennis Shoes,Footwear,1,89.99,89.99,Tennis Players,Store B
TXN005,2024-01-19,CUST005,Basketball,Sports,1,29.99,29.99,Basketball Players,Store A
TXN005,2024-01-19,CUST005,Basketball Shoes,Footwear,1,139.99,139.99,Basketball Players,Store A
TXN005,2024-01-19,CUST005,Sports Jersey,Clothing,1,49.99,49.99,Basketball Players,Store A
TXN006,2024-01-20,CUST006,Mountain Bike,Sports,1,899.99,899.99,Cyclists,Store B
TXN006,2024-01-20,CUST006,Bike Helmet,Safety,1,79.99,79.99,Cyclists,Store B
TXN006,2024-01-20,CUST006,Bike Lock,Accessories,1,39.99,39.99,Cyclists,Store B
TXN007,2024-01-21,CUST007,Swimming Goggles,Swimming,1,24.99,24.99,Swimmers,Store A
TXN007,2024-01-21,CUST007,Swim Cap,Swimming,1,12.99,12.99,Swimmers,Store A
TXN007,2024-01-21,CUST007,Swimsuit,Clothing,1,69.99,69.99,Swimmers,Store A
TXN008,2024-01-22,CUST008,Golf Clubs Set,Sports,1,599.99,599.99,Golfers,Store B
TXN008,2024-01-22,CUST008,Golf Balls,Sports,12,3.99,47.88,Golfers,Store B
TXN008,2024-01-22,CUST008,Golf Gloves,Accessories,1,29.99,29.99,Golfers,Store B
TXN009,2024-01-23,CUST009,Camping Tent,Outdoor,1,249.99,249.99,Outdoor Enthusiasts,Store A
TXN009,2024-01-23,CUST009,Sleeping Bag,Outdoor,1,89.99,89.99,Outdoor Enthusiasts,Store A
TXN009,2024-01-23,CUST009,Camping Stove,Outdoor,1,79.99,79.99,Outdoor Enthusiasts,Store A
TXN010,2024-01-24,CUST010,Hiking Boots,Footwear,1,159.99,159.99,Hikers,Store B
TXN010,2024-01-24,CUST010,Backpack,Outdoor,1,129.99,129.99,Hikers,Store B
TXN010,2024-01-24,CUST010,Hiking Poles,Outdoor,1,69.99,69.99,Hikers,Store B
TXN011,2024-01-25,CUST011,Surfboard,Water Sports,1,399.99,399.99,Surfers,Store A
TXN011,2024-01-25,CUST011,Wetsuit,Clothing,1,149.99,149.99,Surfers,Store A
TXN012,2024-01-26,CUST012,Fishing Rod,Fishing,1,89.99,89.99,Anglers,Store B
TXN012,2024-01-26,CUST012,Tackle Box,Fishing,1,39.99,39.99,Anglers,Store B
TXN012,2024-01-26,CUST012,Fishing Line,Fishing,1,19.99,19.99,Anglers,Store B
TXN013,2024-01-27,CUST013,Ski Equipment,Winter Sports,1,799.99,799.99,Skiers,Store A
TXN013,2024-01-27,CUST013,Ski Boots,Footwear,1,299.99,299.99,Skiers,Store A
TXN014,2024-01-28,CUST014,Snowboard,Winter Sports,1,499.99,499.99,Snowboarders,Store B
TXN014,2024-01-28,CUST014,Snowboard Boots,Footwear,1,199.99,199.99,Snowboarders,Store B
TXN015,2024-01-29,CUST015,Fitness Tracker,Electronics,1,199.99,199.99,Tech Fitness,Store A
TXN015,2024-01-29,CUST015,Smart Scale,Electronics,1,89.99,89.99,Tech Fitness,Store A
TXN015,2024-01-29,CUST015,Workout Headphones,Electronics,1,149.99,149.99,Tech Fitness,Store A
