transaction_id,customer_id,product_name,date,persona,quantity,unit_price,category,total_amount
TEST_TXN_001,CUST_0010,Protein Bars,2025-07-01,Fashion Conscious,1,56.17,Health & Beauty,56.17
TEST_TXN_001,CUST_0010,iPhone 15,2025-07-01,Fashion Conscious,1,1170.86,Electronics,1170.86
TEST_TXN_001,CUST_0010,Coffee,2025-07-01,Fashion Conscious,1,27.13,Food & Beverages,27.13
TEST_TXN_001,CUST_0010,Milk,2025-07-01,Fashion Conscious,1,5.43,Food & Beverages,5.43
TEST_TXN_001,CUST_0010,Shampoo,2025-07-01,Fashion Conscious,1,18.93,Health & Beauty,18.93
TEST_TXN_002,CUST_0014,iPhone 15,2025-07-03,Fashion Conscious,1,1099.36,Electronics,1099.36
TEST_TXN_002,CUST_0014,Jeans,2025-07-03,Fashion Conscious,1,111.59,Clothing,111.59
TEST_TXN_002,CUST_0014,MacBook Pro,2025-07-03,Fashion Conscious,1,2385.89,Electronics,2385.89
TEST_TXN_003,CUST_0009,Protein Bars,2025-07-20,Tech Enthusiast,1,52.17,Health & Beauty,52.17
TEST_TXN_003,CUST_0009,Jeans,2025-07-20,Tech Enthusiast,1,65.66,Clothing,65.66
TEST_TXN_004,CUST_0018,MacBook Pro,2025-07-06,Fashion Conscious,1,1830.86,Electronics,1830.86
TEST_TXN_004,CUST_0018,Shampoo,2025-07-06,Fashion Conscious,1,22.87,Health & Beauty,22.87
TEST_TXN_004,CUST_0018,Nike Shoes,2025-07-06,Fashion Conscious,1,99.81,Clothing,99.81
TEST_TXN_005,CUST_0002,Protein Bars,2025-07-03,Home Cook,1,28.75,Health & Beauty,28.75
TEST_TXN_005,CUST_0002,Book,2025-07-03,Home Cook,1,26.42,Books & Media,26.42
TEST_TXN_005,CUST_0002,MacBook Pro,2025-07-03,Home Cook,1,1359.48,Electronics,1359.48
TEST_TXN_006,CUST_0018,Nike Shoes,2025-07-24,Book Lover,1,81.55,Clothing,81.55
TEST_TXN_006,CUST_0018,Jeans,2025-07-24,Book Lover,1,110.99,Clothing,110.99
TEST_TXN_006,CUST_0018,T-Shirt,2025-07-24,Book Lover,1,33.56,Clothing,33.56
TEST_TXN_006,CUST_0018,Protein Bars,2025-07-24,Book Lover,1,48.67,Health & Beauty,48.67
TEST_TXN_007,CUST_0009,Protein Bars,2025-07-17,Fitness Enthusiast,1,64.42,Health & Beauty,64.42
TEST_TXN_007,CUST_0009,Coffee,2025-07-17,Fitness Enthusiast,1,13.09,Food & Beverages,13.09
TEST_TXN_007,CUST_0009,Milk,2025-07-17,Fitness Enthusiast,1,3.65,Food & Beverages,3.65
TEST_TXN_007,CUST_0009,Bread,2025-07-17,Fitness Enthusiast,1,4.52,Food & Beverages,4.52
TEST_TXN_008,CUST_0006,Bread,2025-06-26,Tech Enthusiast,1,3.31,Food & Beverages,3.31
TEST_TXN_008,CUST_0006,Coffee,2025-06-26,Tech Enthusiast,1,10.94,Food & Beverages,10.94
TEST_TXN_008,CUST_0006,Book,2025-06-26,Tech Enthusiast,1,90.0,Books & Media,90.0
TEST_TXN_008,CUST_0006,Jeans,2025-06-26,Tech Enthusiast,1,53.23,Clothing,53.23
TEST_TXN_009,CUST_0011,Jeans,2025-07-02,Tech Enthusiast,1,63.02,Clothing,63.02
TEST_TXN_010,CUST_0005,Jeans,2025-07-12,Fitness Enthusiast,1,87.51,Clothing,87.51
TEST_TXN_011,CUST_0015,T-Shirt,2025-07-12,Home Cook,1,48.07,Clothing,48.07
TEST_TXN_012,CUST_0009,AirPods Pro,2025-07-07,Home Cook,1,167.58,Electronics,167.58
TEST_TXN_012,CUST_0009,Jeans,2025-07-07,Home Cook,1,96.59,Clothing,96.59
TEST_TXN_013,CUST_0019,Coffee,2025-07-24,Home Cook,1,21.86,Food & Beverages,21.86
TEST_TXN_013,CUST_0019,Bread,2025-07-24,Home Cook,1,3.34,Food & Beverages,3.34
TEST_TXN_013,CUST_0019,T-Shirt,2025-07-24,Home Cook,1,35.33,Clothing,35.33
TEST_TXN_014,CUST_0009,AirPods Pro,2025-07-07,Book Lover,1,166.37,Electronics,166.37
