transaction_id,customer_id,items,date,time,persona,customer_loyalty,store_location,payment_method
TXN_000001,CUST_0011,Plant Fertilizer;Tomato Sauce;Rice Cooker;Vegetables;Cheese;Chicken Breast;Stand Mixer;Organic Coffee;Dark Chocolate,2025-07-11,10:30,Home Cook,regular,Store C,Credit Card
TXN_000002,CUST_0024,Kindle;Wireless Charger;4K Monitor;MacBook Pro;Microsoft Surface,2025-07-20,13:28,Tech Enthusiast,vip,Store C,Debit Card
TXN_000003,CUST_0193,Tommy Hilfiger Jacket;Moisturizer;Champion Hoodie;H&M T-Shirt;Gap Jeans;Fitness Tracker;Hair Dryer,2025-02-05,16:22,Fashion Conscious,regular,Store A,Credit Card
TXN_000004,CUST_0078,Olive Oil;Butter;Quinoa;Dark Chocolate;Garden Tools Set;Garden Hose;Lawn Mower;Food Processor;Microwave,2025-06-16,17:22,Home Cook,new,Store B,Cash
TXN_000005,CUST_0146,Game of Thrones;Gap Jeans;Levi's Jeans;Adidas Track Pants;Converse All Stars,2025-03-26,19:33,General Shopper,regular,Store C,Credit Card
TXN_000006,CUST_0198,Garden Hose;Cheese;Flower Pots;Chicken Breast;Orange Juice,2025-03-02,18:05,Home Cook,regular,Online,Cash
TXN_000007,CUST_0162,Swimming Goggles,2025-05-28,18:22,Fitness Enthusiast,new,Store B,Credit Card
TXN_000008,CUST_0123,Apple Watch;Nintendo Switch;Webcam;Gaming Mouse;Gaming Keyboard;Graphics Card RTX 4070,2025-05-16,19:10,Tech Enthusiast,new,Online,Debit Card
TXN_000009,CUST_0126,Electric Kettle;Garden Tools Set;Plant Fertilizer;Lawn Mower;Vacuum Cleaner;Eggs;Butter;Bread;Green Tea;Instant Pot;Blender,2025-05-15,21:27,Home Cook,regular,Store C,Credit Card
TXN_000010,CUST_0200,Cereal;Electric Kettle;Coffee Maker;Patio Umbrella;Lawn Mower;Nuts Mix;Orange Juice;Flower Pots;Quinoa;Yogurt;Organic Coffee;Cheese;Eggs;Vacuum Cleaner;Toaster,2025-04-03,09:49,Home Cook,vip,Online,Debit Card
TXN_000011,CUST_0050,Makeup Kit;Champion Hoodie;Zara Dress;Adidas Ultraboost;Nike Socks;Gap Jeans;Deodorant,2025-02-20,13:36,Fashion Conscious,vip,Online,Debit Card
TXN_000012,CUST_0016,Patio Umbrella;Flower Pots;Vacuum Cleaner;Electric Kettle;Solar Lights,2025-02-13,19:21,General Shopper,new,Online,Cash
TXN_000013,CUST_0154,Fitness Tracker;Protein Powder;Running Shoes,2025-02-14,17:26,Fitness Enthusiast,regular,Store B,Mobile Payment
TXN_000014,CUST_0127,1984;Honey;Fruits;Quinoa;Nuts Mix;Chicken Breast;Yogurt;Milk;Orange Juice;Dark Chocolate;Salmon;Butter;Tomato Sauce;Solar Lights,2025-06-25,11:46,General Shopper,vip,Store C,Mobile Payment
TXN_000015,CUST_0014,Outdoor Furniture;Yogurt;Rice Cooker;Toaster;Tomato Sauce;Honey;Organic Coffee;Quinoa,2025-05-15,18:21,Home Cook,regular,Store B,Credit Card
TXN_000016,CUST_0069,External SSD;AirPods Pro;Graphics Card RTX 4070;Power Bank;Samsung Watch,2025-05-07,16:59,Tech Enthusiast,regular,Online,Credit Card
TXN_000017,CUST_0044,Salmon;Milk;Garden Tools Set;Butter;Food Processor;Instant Pot;Air Fryer;BBQ Grill;Toaster;Tomato Sauce;Protein Bars;Blender;Garden Hose;Plant Fertilizer;Microwave;Bread,2025-03-27,16:17,Home Cook,regular,Online,Debit Card
TXN_000018,CUST_0163,Nuts Mix;Flower Pots;Stand Mixer;Outdoor Furniture;Yogurt,2025-03-11,08:56,Home Cook,regular,Store A,Cash
TXN_000019,CUST_0055,Dell XPS 13,2025-05-09,23:34,Tech Enthusiast,regular,Store C,Credit Card
TXN_000020,CUST_0046,Cereal,2025-05-12,10:52,Book Lover,vip,Online,Mobile Payment
TXN_000021,CUST_0054,"Wireless Charger;Smart TV 55""",2025-05-22,20:50,Tech Enthusiast,regular,Store A,Credit Card
TXN_000022,CUST_0085,Conditioner;Shampoo;Converse All Stars;Supplement Pills;Yoga Mat,2025-03-12,16:31,Fashion Conscious,new,Online,Mobile Payment
TXN_000023,CUST_0040,Protein Powder,2025-07-15,08:46,Fitness Enthusiast,regular,Store A,Debit Card
TXN_000024,CUST_0227,Protein Bars;BBQ Grill;Milk;Patio Umbrella;Air Fryer;Flower Pots;Bread,2025-07-20,10:32,Home Cook,regular,Online,Credit Card
TXN_000025,CUST_0078,BBQ Grill;Stand Mixer;Garden Tools Set;Peanut Butter;Bread;Food Processor;Solar Lights;Nuts Mix;Yogurt;Eggs,2025-05-07,13:16,Home Cook,new,Store B,Credit Card
