transaction_id,customer_id,items,date,time,persona,customer_loyalty,store_location,payment_method
TXN_000001,CUST_0214,Face Cream;Tommy Hilfiger Jacket;Fitness Tracker;Sunscreen,2025-03-21,19:34,Fashion Conscious,vip,Store B,Credit Card
TXN_000002,CUST_0006,Hair Dryer;Backpack;Perfume,2025-04-17,09:11,Fitness Enthusiast,regular,Store B,Cash
TXN_000003,CUST_0236,Fishing Rod;Tennis Racket;Sleeping Bag;Ski Equipment;Golf Balls,2025-04-06,10:47,Fitness Enthusiast,vip,Online,Mobile Payment
TXN_000004,CUST_0137,Xbox Series X;iPad;External SSD,2025-04-16,12:43,Tech Enthusiast,new,Store A,Mobile Payment
TXN_000005,CUST_0056,Butter;Eggs;Yogurt,2025-06-04,14:16,General Shopper,regular,Store A,Cash
TXN_000006,CUST_0096,Science Fiction Novel;Fruits;To Kill a Mockingbird,2025-02-23,15:36,General Shopper,regular,Store A,Cash
TXN_000007,CUST_0037,Fruits;Rice Cooker;Olive Oil;Cheese;Pasta;Milk;Peanut Butter;Nuts Mix,2025-03-20,09:35,Home Cook,vip,Store B,Cash
TXN_000008,CUST_0226,Conditioner;Resistance Bands;Dumbbells;Water Bottle;Organic Coffee,2025-05-19,14:30,Fitness Enthusiast,regular,Store C,Debit Card
TXN_000009,CUST_0057,Dark Chocolate;Butter,2025-02-25,14:49,Book Lover,new,Store A,Mobile Payment
TXN_000010,CUST_0092,Body Wash;Nike Socks;Supplement Pills;Converse All Stars;Deodorant,2025-02-05,14:54,Fashion Conscious,regular,Online,Cash
TXN_000011,CUST_0042,Instant Pot;Food Processor;BBQ Grill;Honey;Cereal;Vacuum Cleaner;Milk;Solar Lights;Tomato Sauce;Skincare Set,2025-02-20,08:50,Home Cook,regular,Store C,Credit Card
TXN_000012,CUST_0014,1984;To Kill a Mockingbird;Romance Novel,2025-03-16,11:30,General Shopper,vip,Store C,Credit Card
TXN_000013,CUST_0203,Salmon,2025-01-26,18:21,Home Cook,regular,Store C,Mobile Payment
TXN_000014,CUST_0033,Solar Lights;Green Tea;Air Fryer;Lawn Mower;Quinoa;Instant Pot;Coffee Maker;Outdoor Furniture,2025-04-09,12:04,Home Cook,vip,Store A,Credit Card
TXN_000015,CUST_0133,Tommy Hilfiger Jacket;Nike Air Max,2025-04-29,20:29,Fashion Conscious,regular,Store C,Credit Card
TXN_000016,CUST_0215,Soccer Ball;Backpack;Resistance Bands;Fitness Tracker;Yoga Mat;Sunscreen;Fishing Rod;Golf Balls;Mountain Bike,2025-04-24,09:33,Fitness Enthusiast,regular,Store C,Cash
TXN_000017,CUST_0092,Body Wash;Shampoo;Nike Socks;Face Cream;Electric Toothbrush;Toothpaste;Dumbbells;Skincare Set,2025-01-30,18:43,Fashion Conscious,regular,Store C,Credit Card
TXN_000018,CUST_0023,Dark Chocolate;Peanut Butter;Vegetables;Instant Pot;Stand Mixer;Air Fryer;Microwave;Nuts Mix;Vacuum Cleaner,2025-05-14,19:18,Home Cook,regular,Store C,Mobile Payment
